3836;low;low;low;low;high;low;high;false;true;false;true;true;false
3129;medium;low;low;low;high;low;high;true;true;true;true;true;true
2770;high;low;low;low;high;low;high;true;true;true;true;true;true
2218;high;low;low;low;low;low;low;false;true;false;false;true;true
1103;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
2465;high;low;low;low;low;low;low;true;true;true;true;true;true
1457;high;low;low;low;low;low;low;true;true;true;true;true;true
1346;high;low;low;low;low;low;low;true;true;true;true;true;true
1578;high;low;low;low;low;low;low;true;true;true;true;true;true
3705;low;high;low;high;high;low;high;true;true;true;true;true;false
1412;high;low;low;low;low;low;low;true;true;true;true;true;true
1508;high;low;low;low;low;low;low;true;true;true;true;true;true
298;veryHigh;low;low;low;low;low;low;false;true;false;false;true;true
694;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
1698;high;medium;low;high;low;low;low;false;true;false;true;true;true
2199;high;low;low;low;low;low;low;true;true;true;true;false;true
4018;low;high;high;high;low;low;low;false;true;false;false;false;false
967;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
3520;medium;low;low;low;low;low;low;true;true;true;false;false;true
933;veryHigh;low;low;low;low;low;low;false;true;false;true;true;true
2705;high;high;low;high;low;low;low;true;true;true;true;true;true
126;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
893;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
3092;medium;low;low;low;low;low;low;true;true;true;false;true;true
3436;medium;low;low;low;high;low;high;true;true;true;true;true;true
1220;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
3724;low;high;high;high;high;low;high;false;true;false;false;false;false
2083;high;high;low;high;low;low;low;true;true;true;true;true;true
4639;low;high;high;high;low;low;low;false;false;false;true;false;false
2363;high;low;low;low;low;low;low;true;true;false;true;true;true
1610;high;low;low;low;low;low;low;true;true;true;true;true;true
3161;medium;medium;low;high;low;low;low;true;true;false;true;true;true
4468;low;medium;low;high;low;low;low;false;true;false;false;true;true
4391;low;high;high;low;low;low;low;false;false;false;true;false;false
1387;high;low;low;low;low;low;low;true;true;true;true;true;true
4722;low;low;low;low;high;low;high;true;true;true;true;true;true
1197;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
3347;medium;low;low;low;high;low;high;true;true;true;true;true;true
2338;high;low;low;low;low;low;low;false;true;false;true;true;true
1003;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
442;veryHigh;low;low;low;low;low;low;false;true;false;true;true;true
3310;medium;low;low;low;low;low;low;true;true;true;false;true;true
731;veryHigh;low;low;low;medium;low;low;true;true;true;true;true;true
955;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
2300;high;low;low;low;low;low;low;true;true;true;false;true;true
817;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
4312;low;high;high;high;high;low;high;true;false;true;true;false;false
4619;low;high;high;high;high;low;high;false;true;true;true;true;false
111;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
4773;low;high;high;high;high;low;high;true;true;false;true;true;false
4595;low;high;high;high;low;low;low;false;false;false;false;true;false
4150;low;high;high;low;low;low;low;false;true;false;true;false;false
4408;low;high;high;high;high;low;high;true;false;false;true;false;false
3707;low;low;low;low;high;low;low;true;false;true;false;true;false
3579;medium;low;low;low;low;low;low;false;true;false;true;true;true
1355;high;low;low;low;low;low;low;true;true;true;true;true;true
990;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
4389;low;high;high;high;high;low;high;false;true;false;true;true;false
3725;low;high;high;high;high;low;low;false;true;false;true;false;false
3463;medium;low;low;low;high;low;high;false;true;false;true;true;true
3897;low;high;high;low;low;low;low;true;true;false;false;false;false
4746;low;high;low;high;high;low;high;true;true;false;true;true;false
3845;low;low;low;low;low;low;low;true;true;true;false;true;true
2650;high;low;low;low;high;low;high;false;true;false;true;true;true
2885;high;low;low;low;low;low;low;false;true;false;true;true;true
3110;medium;low;low;low;high;low;high;true;true;true;true;true;true
2714;high;low;low;low;medium;low;low;false;true;false;true;true;true
4169;low;high;high;high;high;low;high;false;false;false;true;true;false
2540;high;low;low;low;medium;low;low;true;true;true;true;true;true
4033;low;high;high;high;high;low;high;false;true;true;true;false;false
3622;medium;low;low;low;medium;low;low;false;true;false;false;true;false
2197;high;low;low;low;high;low;high;true;true;true;true;true;true
343;veryHigh;low;low;low;low;low;low;false;true;false;true;true;true
3055;medium;low;low;low;high;low;high;true;true;true;true;true;true
2536;high;low;low;low;medium;low;low;true;true;true;true;true;true
4482;low;high;low;high;high;low;high;true;true;false;true;true;false
3741;low;low;low;low;high;low;high;false;true;false;false;true;true
4799;low;high;high;high;high;low;low;true;true;false;false;false;false
2348;high;low;low;low;medium;low;low;true;true;true;true;true;true
3167;medium;low;low;low;high;low;low;true;true;true;true;true;true
2497;high;low;low;low;low;low;low;true;true;true;true;true;true
1183;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
1781;high;low;low;low;low;low;low;true;true;true;true;true;true
3811;low;high;low;high;high;low;high;true;true;true;false;true;false
2660;high;low;low;low;low;low;low;true;true;false;true;true;true
3452;medium;high;low;high;low;low;low;true;true;true;true;true;true
1093;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
1820;high;low;low;low;low;low;low;false;true;false;true;false;true
3170;medium;low;low;low;low;low;low;false;true;false;false;true;true
2720;high;low;low;low;medium;low;low;true;true;true;true;true;true
181;veryHigh;low;low;low;low;low;low;false;true;false;true;true;true
544;veryHigh;low;low;low;low;low;low;false;true;false;true;true;true
3600;medium;low;low;low;medium;low;low;false;true;true;true;true;true
3936;low;high;high;high;medium;low;low;false;true;true;false;true;false
1303;high;low;low;low;low;low;low;true;true;true;true;true;true
257;veryHigh;low;low;low;low;low;low;false;true;false;true;true;true
2436;high;low;low;low;medium;low;low;true;false;true;true;true;true
1157;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
1248;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
1056;veryHigh;low;low;low;low;low;low;true;true;true;true;true;true
2708;high;low;low;low;low;low;low;true;true;false;true;true;true
1880;high;low;low;low;low;low;low;true;true;true;true;true;true
2438;high;low;low;low;medium;low;low;true;true;true;true;true;true
